Exchange Server 2019,CU15,SU9,2026-07-14,15.2.1748.48,15.02.1748.048,CVE-2026-62910 - CVE-2026-62911 - CVE-2026-62912 - CVE-2026-62913 - CVE-2026-62914 - CVE-2026-62915 - CVE-2026-65813 - CVE-2026-55007 - CVE-2026-69355 - CVE-2026-69356 - CVE-2026-69361 - CVE-2026-69375 - CVE-2026-69378 - CVE-2026-69380 - CVE-2026-69382 - CVE-2026-69641 - Could be updated
Exchange Server 2019,CU15,SU8,2026-06-09,15.2.1748.46,15.02.1748.046,CVE-2026-55005 - CVE-2026-55006 - CVE-2026-55008 - CVE-2026-55009 - CVE-2026-62910 - CVE-2026-62911 - CVE-2026-62912 - CVE-2026-62913 - CVE-2026-62914 - CVE-2026-62915 - CVE-2026-65813 - CVE-2026-55007 - CVE-2026-69355 - CVE-2026-69356 - CVE-2026-69361 - CVE-2026-69375 - CVE-2026-69378 - CVE-2026-69380 - CVE-2026-69382 - CVE-2026-69641 - Could be updated
Exchange Server 2019,CU15,SU7,2026-02-10,15.2.1748.43,15.02.1748.043,CVE-2026-42897 - CVE-2026-55005 - CVE-2026-55006 - CVE-2026-55008 - CVE-2026-55009 - CVE-2026-62910 - CVE-2026-62911 - CVE-2026-62912 - CVE-2026-62913 - CVE-2026-62914 - CVE-2026-62915 - CVE-2026-65813 - CVE-2026-55007 - CVE-2026-69355 - CVE-2026-69356 - CVE-2026-69361 - CVE-2026-69375 - CVE-2026-69378 - CVE-2026-69380 - CVE-2026-69382 - CVE-2026-69641 - Could be updated
Exchange Server 2019,CU15,SU6,2025-12-09,15.2.1748.42,15.02.1748.042,CVE-2026-21527 - CVE-2026-42897 - CVE-2026-55005 - CVE-2026-55006 - CVE-2026-55008 - CVE-2026-55009 - CVE-2026-62910 - CVE-2026-62911 - CVE-2026-62912 - CVE-2026-62913 - CVE-2026-62914 - CVE-2026-62915 - CVE-2026-65813 - CVE-2026-55007 - CVE-2026-69355 - CVE-2026-69356 - CVE-2026-69361 - CVE-2026-69375 - CVE-2026-69378 - CVE-2026-69380 - CVE-2026-69382 - CVE-2026-69641 - Could be updated
Exchange Server 2019,CU15,SU5,2025-10-14,15.2.1748.39,15.02.1748.039,CVE-2025-64666 - CVE-2025-64667 - CVE-2026-21527 - CVE-2026-42897 - CVE-2026-55005 - CVE-2026-55006 - CVE-2026-55008 - CVE-2026-55009 - CVE-2026-62910 - CVE-2026-62911 - CVE-2026-62912 - CVE-2026-62913 - CVE-2026-62914 - CVE-2026-62915 - CVE-2026-65813 - CVE-2026-55007 - CVE-2026-69355 - CVE-2026-69356 - CVE-2026-69361 - CVE-2026-69375 - CVE-2026-69378 - CVE-2026-69380 - CVE-2026-69382 - CVE-2026-69641 - Could be updated
Exchange Server 2019,CU15,SU4 (HU*),2025-09-08,15.2.1748.37,15.02.1748.037,CVE-2025-59248 - CVE-2025-59249 - CVE-2025-53782 - Could be updated
Exchange Server 2019,CU15,SU3,2025-08-12,15.2.1748.36,15.02.1748.036,CVE-2025-59248 - CVE-2025-59249 - CVE-2025-53782 - Could be updated
Exchange Server 2019,CU15,SU2 (HU*),2025-05-29,15.2.1748.26,15.02.1748.026,CVE-25005 - CVE-2025-25006 - CVE-2025-25007 - CVE-2025-33051 - CVE-2025-59248 - CVE-2025-59249 - CVE-2025-53782 - Could be updated
Exchange Server 2019,CU15,SU1 (HU*),2025-04-18,15.2.1748.24,15.02.1748.024,CVE-25005 - CVE-2025-25006 - CVE-2025-25007 - CVE-2025-33051 - CVE-2025-59248 - CVE-2025-59249 - CVE-2025-53782 - Could be updated
Exchange Server 2019,CU15,Inicial,2025-02-10,15.2.1748.10,15.02.1748.010,CVE-25005 - CVE-2025-25006 - CVE-2025-25007 - CVE-2025-33051 - CVE-2025-59248 - CVE-2025-59249 - CVE-2025-53782 - Could be updated
Exchange Server 2019,CU14,SU14,2026-09-08,15.2.1544.46,15.02.1544.046,Up-to-date
Exchange Server 2019,CU14,SU13,2026-08-11,15.2.1544.44,15.02.1544.044,CVE-2026-55007 - CVE-2026-69355 - CVE-2026-69356 - CVE-2026-69361 - CVE-2026-69375 - CVE-2026-69378 - CVE-2026-69380 - CVE-2026-69382 - CVE-2026-69641 - Could be updated
Exchange Server 2019,CU14,SU12,2026-07-14,15.2.1544.43,15.02.1544.043,CVE-2026-62910 - CVE-2026-62911 - CVE-2026-62912 - CVE-2026-62913 - CVE-2026-62914 - CVE-2026-62915 - CVE-2026-65813 - CVE-2026-55007 - CVE-2026-69355 - CVE-2026-69356 - CVE-2026-69361 - CVE-2026-69375 - CVE-2026-69378 - CVE-2026-69380 - CVE-2026-69382 - CVE-2026-69641 - Could be updated
Exchange Server 2019,CU14,SU11,2026-06-09,15.2.1544.41,15.02.1544.041,CVE-2026-55005 - CVE-2026-55006 - CVE-2026-55008 - CVE-2026-55009 - CVE-2026-62910 - CVE-2026-62911 - CVE-2026-62912 - CVE-2026-62913 - CVE-2026-62914 - CVE-2026-62915 - CVE-2026-65813 - CVE-2026-55007 - CVE-2026-69355 - CVE-2026-69356 - CVE-2026-69361 - CVE-2026-69375 - CVE-2026-69378 - CVE-2026-69380 - CVE-2026-69382 - CVE-2026-69641 - Could be updated
Exchange Server 2019,CU14,SU10,2026-02-10,15.2.1544.39,15.02.1544.039,CVE-2026-42897 - CVE-2026-55005 - CVE-2026-55006 - CVE-2026-55008 - CVE-2026-55009 - CVE-2026-62910 - CVE-2026-62911 - CVE-2026-62912 - CVE-2026-62913 - CVE-2026-62914 - CVE-2026-62915 - CVE-2026-65813 - CVE-2026-55007 - CVE-2026-69355 - CVE-2026-69356 - CVE-2026-69361 - CVE-2026-69375 - CVE-2026-69378 - CVE-2026-69380 - CVE-2026-69382 - CVE-2026-69641 - Could be updated
Exchange Server 2019,CU14,SU9,2025-12-09,15.2.1544.37,15.02.1544.037,CVE-2026-21527 - CVE-2026-42897 - CVE-2026-55005 - CVE-2026-55006 - CVE-2026-55008 - CVE-2026-55009 - CVE-2026-62910 - CVE-2026-62911 - CVE-2026-62912 - CVE-2026-62913 - CVE-2026-62914 - CVE-2026-62915 - CVE-2026-65813 - CVE-2026-55007 - CVE-2026-69355 - CVE-2026-69356 - CVE-2026-69361 - CVE-2026-69375 - CVE-2026-69378 - CVE-2026-69380 - CVE-2026-69382 - CVE-2026-69641 - Could be updated
Exchange Server 2019,CU14,SU8,2025-10-14,15.2.1544.36,15.02.1544.036,CVE-2025-64666 - CVE-2025-64667 - CVE-2026-21527 - CVE-2026-42897 - CVE-2026-55005 - CVE-2026-55006 - CVE-2026-55008 - CVE-2026-55009 - CVE-2026-62910 - CVE-2026-62911 - CVE-2026-62912 - CVE-2026-62913 - CVE-2026-62914 - CVE-2026-62915 - CVE-2026-65813 - CVE-2026-55007 - CVE-2026-69355 - CVE-2026-69356 - CVE-2026-69361 - CVE-2026-69375 - CVE-2026-69378 - CVE-2026-69380 - CVE-2026-69382 - CVE-2026-69641 - Could be updated
Exchange Server 2019,CU14,SU7 (HU*),2025-09-08,15.2.1544.34,15.02.1544.034,CVE-2025-59248 - CVE-2025-59249 - CVE-2025-53782 - CVE-2025-64666 - CVE-2025-64667 - CVE-2026-21527 - CVE-2026-42897 - CVE-2026-55005 - CVE-2026-55006 - CVE-2026-55008 - CVE-2026-55009 - CVE-2026-62910 - CVE-2026-62911 - CVE-2026-62912 - CVE-2026-62913 - CVE-2026-62914 - CVE-2026-62915 - CVE-2026-65813 - CVE-2026-55007 - CVE-2026-69355 - CVE-2026-69356 - CVE-2026-69361 - CVE-2026-69375 - CVE-2026-69378 - CVE-2026-69380 - CVE-2026-69382 - CVE-2026-69641 - Could be updated
Exchange Server 2019,CU14,SU6,2025-08-12,15.2.1544.33,15.02.1544.033,CVE-2025-59248 - CVE-2025-59249 - CVE-2025-53782 - CVE-2025-64666 - CVE-2025-64667 - CVE-2026-21527 - CVE-2026-42897 - CVE-2026-55005 - CVE-2026-55006 - CVE-2026-55008 - CVE-2026-55009 - CVE-2026-62910 - CVE-2026-62911 - CVE-2026-62912 - CVE-2026-62913 - CVE-2026-62914 - CVE-2026-62915 - CVE-2026-65813 - CVE-2026-55007 - CVE-2026-69355 - CVE-2026-69356 - CVE-2026-69361 - CVE-2026-69375 - CVE-2026-69378 - CVE-2026-69380 - CVE-2026-69382 - CVE-2026-69641 - Could be updated
Exchange Server 2019,CU14,SU5 (HU*),2025-05-29,15.2.1544.27,15.02.1544.027,CVE-2025-59248 - CVE-2025-59249 - CVE-2025-53782 - CVE-2025-64666 - CVE-2025-64667 - CVE-2026-21527 - CVE-2026-42897 - CVE-2026-55005 - CVE-2026-55006 - CVE-2026-55008 - CVE-2026-55009 - CVE-2026-62910 - CVE-2026-62911 - CVE-2026-62912 - CVE-2026-62913 - CVE-2026-62914 - CVE-2026-62915 - CVE-2026-65813 - CVE-2026-55007 - CVE-2026-69355 - CVE-2026-69356 - CVE-2026-69361 - CVE-2026-69375 - CVE-2026-69378 - CVE-2026-69380 - CVE-2026-69382 - CVE-2026-69641 - Could be updated
Exchange Server 2019,CU14,SU4 (HU*),2025-04-18,15.2.1544.25,15.02.1544.025,Could be updated
Exchange Server 2019,CU14,SU3v2,2024-11-27,15.2.1544.14,15.02.1544.014,Could be updated
Exchange Server 2019,CU14,SU3,2024-11-12,15.2.1544.13,15.02.1544.013,Could be updated
Exchange Server 2019,CU14,SU2 (HU*),2024-04-23,15.2.1544.11,15.02.1544.011,CVE-2024-49040 - Could be updated
Exchange Server 2019,CU14,SU1,2024-03-12,15.2.1544.9,15.02.1544.009,CVE-2024-49040 - Could be updated
Exchange Server 2019,CU14,Initial,2024-02-13,15.2.1544.4,15.02.1544.004,CVE-2024-21410 - CVE-2024-26198 - Could be updated
Exchange Server 2019,CU13,SU7v2,2024-11-27,15.2.1258.39,15.02.1258.039,Up-to-date. Could be upgraded to latest CU
Exchange Server 2019,CU13,SU7,2024-11-12,15.2.1258.38,15.02.1258.038,Could be updated
Exchange Server 2019,CU13,SU6 (HU*),2024-04-23,15.2.1258.34,15.02.1258.034,CVE-2024-49040 - Could be updated
Exchange Server 2019,CU13,SU5,2024-03-12,15.2.1258.32,15.02.1258.032,CVE-2024-49040 - Could be updated
Exchange Server 2019,CU13,SU4,2023-11-14,15.2.1258.28,15.02.1258.028,CVE-2024-21410 - CVE-2024-26198 - Could be updated
Exchange Server 2019,CU13,SU3,2023-10-10,15.2.1258.27,15.02.1258.027,CVE-2024-21410 - CVE-2024-26198 - CVE-2023-36439 - CVE-2023-36050 - CVE-2023-36039 - CVE-2023-36035
Exchange Server 2019,CU13,SU2v2,2023-08-15,15.2.1258.25,15.02.1258.025,CVE-2024-21410 - CVE-2024-26198 - CVE-2023-36439 - CVE-2023-36050 - CVE-2023-36039 - CVE-2023-36035 - CVE-2023-36778 - Could be updated
Exchange Server 2019,CU13,SU2,2023-08-08,15.2.1258.23,15.02.1258.023,CVE-2024-21410 - CVE-2024-26198 - CVE-2023-36439 - CVE-2023-36050 - CVE-2023-36039 - CVE-2023-36035 - CVE-2023-36778 - Could be updated
Exchange Server 2019,CU13,SU1,2023-06-13,15.2.1258.16,15.02.1258.016,Risk: Vulnerable - Could be updated
Exchange Server 2019,CU13 (2023H1),Initial,2023-05-03,15.2.1258.12,15.02.1258.012,CVE-2024-21410 - CVE-2024-26198 - CVE-2023-36439 - CVE-2023-36050 - CVE-2023-36039 - CVE-2023-36035 - CVE-2023-36778 - CVE-2023-28310 CVE-2023-32031 - Could be updated
Exchange Server 2019,CU12,SU12,2023-11-14,15.2.1118.40,15.02.1118.040,Risk: Vulnerable - Could be updated
Exchange Server 2019,CU12,SU11,2023-10-10,15.2.1118.39,15.02.1118.039,Risk: Vulnerable - Could be updated
Exchange Server 2019,CU12,SU10,2023-08-15,15.2.1118.37,15.02.1118.037,CVE-2024-21410 - CVE-2024-26198 - CVE-2023-36439 - CVE-2023-36050 - CVE-2023-36039 - CVE-2023-36035 - CVE-2023-36778 - Could be updated
Exchange Server 2019,CU12,SU9,2023-08-08,15.2.1118.36,15.02.1118.036,CVE-2024-21410 - CVE-2024-26198 - CVE-2023-36439 - CVE-2023-36050 - CVE-2023-36039 - CVE-2023-36035 - CVE-2023-36778 - Could be updated
Exchange Server 2019,CU12,SU8,2023-06-13,15.2.1118.30,15.02.1118.030,Risk: Vulnerable - Could be updated
Exchange Server 2019,CU12,SU7,2023-03-14,15.2.1118.26,15.02.1118.026,Risk: Vulnerable - Could be updated
Exchange Server 2019,CU12,SU6,2023-02-14,15.2.1118.25,15.02.1118.025,Risk: Vulnerable - Could be updated
Exchange Server 2019,CU12,SU5,2023-01-10,15.2.1118.21,15.02.1118.021,Risk: Vulnerable - Could be updated
Exchange Server 2019,CU12,SU4,2022-11-08,15.2.1118.20,15.02.1118.020,TabShell - Could be updated
Exchange Server 2019,CU12,SU3,2022-10-11,15.2.1118.15,15.02.1118.015,ProxyNotShell - OWASSRF - Could be updated
Exchange Server 2019,CU12,SU2,2022-08-09,15.2.1118.12,15.02.1118.012,ProxyNotShell - OWASSRF - Could be updated
Exchange Server 2019,CU12,SU1,2022-05-10,15.2.1118.9,15.02.1118.009,ProxyNotShell - OWASSRF - Could be updated
Exchange Server 2019,CU12 (2022H1),Initial,2022-04-20,15.2.1118.7,15.02.1118.007,ProxyNotShell - OWASSRF - Could be updated
Exchange Server 2019,CU11,SU11,2023-03-14,15.2.986.42,15.02.0986.042,Risk: Vulnerable - Could be updated
Exchange Server 2019,CU11,SU10,2023-02-14,15.2.986.41,15.02.0986.041,Risk: Vulnerable - Could be updated
Exchange Server 2019,CU11,SU9,2023-01-10,15.2.986.37,15.02.0986.037,Risk: Vulnerable - Could be updated
